"human_geneid","human_EnsemblID","human_Symbol","human_description","human_type_of_gene","mouse_EnsemblID","mouse_geneid"
1353,"ENSG00000166260","COX11","cytochrome c oxidase copper chaperone COX11","protein-coding","ENSMUSG00000020544",69802
1355,"ENSG00000014919","COX15","cytochrome c oxidase assembly homolog COX15","protein-coding","ENSMUSG00000040018",226139
1356,"ENSG00000047457","CP","ceruloplasmin","protein-coding","ENSMUSG00000003617",12870
1357,"ENSG00000091704","CPA1","carboxypeptidase A1","protein-coding","ENSMUSG00000054446",109697
1358,"ENSG00000158516","CPA2","carboxypeptidase A2","protein-coding","ENSMUSG00000071553",232680
1359,"ENSG00000163751","CPA3","carboxypeptidase A3","protein-coding","ENSMUSG00000001865",12873
1360,"ENSG00000153002","CPB1","carboxypeptidase B1","protein-coding","ENSMUSG00000011463",76703
1361,"ENSG00000080618","CPB2","carboxypeptidase B2","protein-coding","ENSMUSG00000021999",56373
1362,"ENSG00000108582","CPD","carboxypeptidase D","protein-coding","ENSMUSG00000020841",12874
1363,"ENSG00000109472","CPE","carboxypeptidase E","protein-coding","ENSMUSG00000037852",12876
1364,"ENSG00000189143","CLDN4","claudin 4","protein-coding","ENSMUSG00000047501",12740
1365,"ENSG00000165215","CLDN3","claudin 3","protein-coding","ENSMUSG00000070473",12739
1366,"ENSG00000181885","CLDN7","claudin 7","protein-coding","ENSMUSG00000018569",53624
1368,"ENSG00000135678","CPM","carboxypeptidase M","protein-coding","ENSMUSG00000020183",70574
1369,"ENSG00000120054","CPN1","carboxypeptidase N subunit 1","protein-coding","ENSMUSG00000025196",93721
1370,"ENSG00000178772","CPN2","carboxypeptidase N subunit 2","protein-coding","ENSMUSG00000023176",71756
1371,"ENSG00000080819","CPOX","coproporphyrinogen oxidase","protein-coding","ENSMUSG00000022742",12892
1373,"ENSG00000021826","CPS1","carbamoyl-phosphate synthase 1","protein-coding","ENSMUSG00000025991",227231
1374,"ENSG00000110090","CPT1A","carnitine palmitoyltransferase 1A","protein-coding","ENSMUSG00000024900",12894
1375,"ENSG00000205560","CPT1B","carnitine palmitoyltransferase 1B","protein-coding","ENSMUSG00000078937",12895
1376,"ENSG00000157184","CPT2","carnitine palmitoyltransferase 2","protein-coding","ENSMUSG00000028607",12896
1379,"ENSG00000197721","CR1L","complement C3b/C4b receptor 1 like","protein-coding","ENSMUSG00000016481",12946
1380,"ENSG00000117322","CR2","complement C3d receptor 2","protein-coding","ENSMUSG00000026616",12902
1381,"ENSG00000166426","CRABP1","cellular retinoic acid binding protein 1","protein-coding","ENSMUSG00000032291",12903
1382,"ENSG00000143320","CRABP2","cellular retinoic acid binding protein 2","protein-coding","ENSMUSG00000004885",12904
1384,"ENSG00000095321","CRAT","carnitine O-acetyltransferase","protein-coding","ENSMUSG00000026853",12908
1385,"ENSG00000118260","CREB1","cAMP responsive element binding protein 1","protein-coding","ENSMUSG00000025958",12912
1386,"ENSG00000115966","ATF2","activating transcription factor 2","protein-coding","ENSMUSG00000027104",11909
1387,"ENSG00000005339","CREBBP","CREB binding protein","protein-coding","ENSMUSG00000022521",12914
1388,"ENSG00000168468","ATF6B","activating transcription factor 6 beta","protein-coding","ENSMUSG00000015461",12915
1389,"ENSG00000111269","CREBL2","cAMP responsive element binding protein like 2","protein-coding","ENSMUSG00000032652",232430
1390,"ENSG00000095794","CREM","cAMP responsive element modulator","protein-coding","ENSMUSG00000063889",12916
1392,"ENSG00000147571","CRH","corticotropin releasing hormone","protein-coding","ENSMUSG00000049796",12918
1393,"ENSG00000145708","CRHBP","corticotropin releasing hormone binding protein","protein-coding","ENSMUSG00000021680",12919
1394,"ENSG00000120088","CRHR1","corticotropin releasing hormone receptor 1","protein-coding","ENSMUSG00000018634",12921
1395,"ENSG00000106113","CRHR2","corticotropin releasing hormone receptor 2","protein-coding","ENSMUSG00000003476",12922
1396,"ENSG00000213145","CRIP1","cysteine rich protein 1","protein-coding","ENSMUSG00000006360",12925
1397,"ENSG00000182809","CRIP2","cysteine rich protein 2","protein-coding","ENSMUSG00000006356",68337
1398,"ENSG00000167193","CRK","CRK proto-oncogene, adaptor protein","protein-coding","ENSMUSG00000017776",12928
1399,"ENSG00000099942","CRKL","CRK like proto-oncogene, adaptor protein","protein-coding","ENSMUSG00000006134",12929
1400,"ENSG00000072832","CRMP1","collapsin response mediator protein 1","protein-coding","ENSMUSG00000029121",12933
1401,"ENSG00000132693","CRP","C-reactive protein","protein-coding","ENSMUSG00000037942",12944
1404,"ENSG00000145681","HAPLN1","hyaluronan and proteoglycan link protein 1","protein-coding","ENSMUSG00000021613",12950
1406,"ENSG00000105392","CRX","cone-rod homeobox","protein-coding","ENSMUSG00000041578",12951
1407,"ENSG00000008405","CRY1","cryptochrome circadian regulator 1","protein-coding","ENSMUSG00000020038",12952
1408,"ENSG00000121671","CRY2","cryptochrome circadian regulator 2","protein-coding","ENSMUSG00000068742",12953
1409,"ENSG00000160202","CRYAA","crystallin alpha A","protein-coding","ENSMUSG00000024041",12954
1410,"ENSG00000109846","CRYAB","crystallin alpha B","protein-coding","ENSMUSG00000032060",12955
1411,"ENSG00000108255","CRYBA1","crystallin beta A1","protein-coding","ENSMUSG00000000724",12957
1412,"ENSG00000163499","CRYBA2","crystallin beta A2","protein-coding","ENSMUSG00000006546",12958
1413,"ENSG00000196431","CRYBA4","crystallin beta A4","protein-coding","ENSMUSG00000066975",12959
1414,"ENSG00000100122","CRYBB1","crystallin beta B1","protein-coding","ENSMUSG00000029343",12960
1415,"ENSG00000244752","CRYBB2","crystallin beta B2","protein-coding","ENSMUSG00000042240",12961
1417,"ENSG00000100053","CRYBB3","crystallin beta B3","protein-coding","ENSMUSG00000029352",12962
1427,"ENSG00000213139","CRYGS","crystallin gamma S","protein-coding","ENSMUSG00000033501",12970
1428,"ENSG00000103316","CRYM","crystallin mu","protein-coding","ENSMUSG00000030905",12971
1429,"ENSG00000116791","CRYZ","crystallin zeta","protein-coding","ENSMUSG00000028199",12972
1431,"ENSG00000062485","CS","citrate synthase","protein-coding","ENSMUSG00000005683",12974
1432,"ENSG00000112062","MAPK14","mitogen-activated protein kinase 14","protein-coding","ENSMUSG00000053436",26416
1434,"ENSG00000124207","CSE1L","chromosome segregation 1 like","protein-coding","ENSMUSG00000002718",110750
1435,"ENSG00000184371","CSF1","colony stimulating factor 1","protein-coding","ENSMUSG00000014599",12977
1436,"ENSG00000182578","CSF1R","colony stimulating factor 1 receptor","protein-coding","ENSMUSG00000024621",12978
1437,"ENSG00000164400","CSF2","colony stimulating factor 2","protein-coding","ENSMUSG00000018916",12981
1439,"ENSG00000100368","CSF2RB","colony stimulating factor 2 receptor subunit beta","protein-coding","ENSMUSG00000071713",12983
1440,"ENSG00000108342","CSF3","colony stimulating factor 3","protein-coding","ENSMUSG00000038067",12985
1441,"ENSG00000119535","CSF3R","colony stimulating factor 3 receptor","protein-coding","ENSMUSG00000028859",12986
1445,"ENSG00000103653","CSK","C-terminal Src kinase","protein-coding","ENSMUSG00000032312",12988
1446,"ENSG00000126545","CSN1S1","casein alpha s1","protein-coding","ENSMUSG00000070702",12990
1447,"ENSG00000135222","CSN2","casein beta","protein-coding","ENSMUSG00000063157",12991
1448,"ENSG00000171209","CSN3","casein kappa","protein-coding","ENSMUSG00000001622",12994
1452,"ENSG00000113712","CSNK1A1","casein kinase 1 alpha 1","protein-coding","ENSMUSG00000024576",93687
1453,"ENSG00000141551","CSNK1D","casein kinase 1 delta","protein-coding","ENSMUSG00000025162",104318
1454,"ENSG00000213923","CSNK1E","casein kinase 1 epsilon","protein-coding","ENSMUSG00000022433",27373
1455,"ENSG00000133275","CSNK1G2","casein kinase 1 gamma 2","protein-coding","ENSMUSG00000003345",103236
1456,"ENSG00000151292","CSNK1G3","casein kinase 1 gamma 3","protein-coding","ENSMUSG00000073563",70425
1457,"ENSG00000101266","CSNK2A1","casein kinase 2 alpha 1","protein-coding","ENSMUSG00000074698",12995
1459,"ENSG00000070770","CSNK2A2","casein kinase 2 alpha 2","protein-coding","ENSMUSG00000046707",13000
1460,"ENSG00000204435","CSNK2B","casein kinase 2 beta","protein-coding","ENSMUSG00000024387",13001
1462,"ENSG00000038427","VCAN","versican","protein-coding","ENSMUSG00000021614",13003
1463,"ENSG00000130287","NCAN","neurocan","protein-coding","ENSMUSG00000002341",13004
1464,"ENSG00000173546","CSPG4","chondroitin sulfate proteoglycan 4","protein-coding","ENSMUSG00000032911",121021
1465,"ENSG00000159176","CSRP1","cysteine and glycine rich protein 1","protein-coding","ENSMUSG00000026421",13007
1466,"ENSG00000175183","CSRP2","cysteine and glycine rich protein 2","protein-coding","ENSMUSG00000020186",13008
1468,"ENSG00000183048","SLC25A10","solute carrier family 25 member 10","protein-coding","ENSMUSG00000025792",27376
1471,"ENSG00000101439","CST3","cystatin C","protein-coding","ENSMUSG00000027447",13010
1474,"ENSG00000175315","CST6","cystatin E/M","protein-coding","ENSMUSG00000024846",73720
1476,"ENSG00000160213","CSTB","cystatin B","protein-coding","ENSMUSG00000005054",13014
1477,"ENSG00000101138","CSTF1","cleavage stimulation factor subunit 1","protein-coding","ENSMUSG00000027498",67337
1478,"ENSG00000101811","CSTF2","cleavage stimulation factor subunit 2","protein-coding","ENSMUSG00000031256",108062
1479,"ENSG00000176102","CSTF3","cleavage stimulation factor subunit 3","protein-coding","ENSMUSG00000027176",228410
1482,"ENSG00000183072","NKX2-5","NK2 homeobox 5","protein-coding","ENSMUSG00000015579",18091
1486,"ENSG00000117151","CTBS","chitobiase","protein-coding","ENSMUSG00000028189",74245
1487,"ENSG00000159692","CTBP1","C-terminal binding protein 1","protein-coding","ENSMUSG00000037373",13016
1488,"ENSG00000175029","CTBP2","C-terminal binding protein 2","protein-coding","ENSMUSG00000030970",13017
1489,"ENSG00000150281","CTF1","cardiotrophin 1","protein-coding","ENSMUSG00000042340",13019
1490,"ENSG00000118523","CCN2","cellular communication network factor 2","protein-coding","ENSMUSG00000019997",14219
1491,"ENSG00000116761","CTH","cystathionine gamma-lyase","protein-coding","ENSMUSG00000028179",107869
1493,"ENSG00000163599","CTLA4","cytotoxic T-lymphocyte associated protein 4","protein-coding","ENSMUSG00000026011",12477
1495,"ENSG00000044115","CTNNA1","catenin alpha 1","protein-coding","ENSMUSG00000037815",12385
1496,"ENSG00000066032","CTNNA2","catenin alpha 2","protein-coding","ENSMUSG00000063063",12386
1497,"ENSG00000040531","CTNS","cystinosin, lysosomal cystine transporter","protein-coding","ENSMUSG00000005949",83429
1499,"ENSG00000168036","CTNNB1","catenin beta 1","protein-coding","ENSMUSG00000006932",12387
1500,"ENSG00000198561","CTNND1","catenin delta 1","protein-coding","ENSMUSG00000034101",12388
1501,"ENSG00000169862","CTNND2","catenin delta 2","protein-coding","ENSMUSG00000022240",18163
1503,"ENSG00000171793","CTPS1","CTP synthase 1","protein-coding","ENSMUSG00000028633",51797
1506,"ENSG00000141086","CTRL","chymotrypsin like","protein-coding","ENSMUSG00000031896",109660
1508,"ENSG00000164733","CTSB","cathepsin B","protein-coding","ENSMUSG00000021939",13030
1509,"ENSG00000117984","CTSD","cathepsin D","protein-coding","ENSMUSG00000007891",13033
1510,"ENSG00000196188","CTSE","cathepsin E","protein-coding","ENSMUSG00000004552",13034
1511,"ENSG00000100448","CTSG","cathepsin G","protein-coding","ENSMUSG00000040314",13035
1512,"ENSG00000103811","CTSH","cathepsin H","protein-coding","ENSMUSG00000032359",13036
1513,"ENSG00000143387","CTSK","cathepsin K","protein-coding","ENSMUSG00000028111",13038
1515,"ENSG00000136943","CTSV","cathepsin V","protein-coding","ENSMUSG00000021477",13039
1519,"ENSG00000256043","CTSO","cathepsin O","protein-coding","ENSMUSG00000028015",229445
1520,"ENSG00000163131","CTSS","cathepsin S","protein-coding","ENSMUSG00000038642",13040
1521,"ENSG00000172543","CTSW","cathepsin W","protein-coding","ENSMUSG00000024910",13041
1522,"ENSG00000101160","CTSZ","cathepsin Z","protein-coding","ENSMUSG00000016256",64138
1523,"ENSG00000257923","CUX1","cut like homeobox 1","protein-coding","ENSMUSG00000029705",13047
1524,"ENSG00000168329","CX3CR1","C-X3-C motif chemokine receptor 1","protein-coding","ENSMUSG00000052336",13051
1525,"ENSG00000154639","CXADR","CXADR Ig-like cell adhesion molecule","protein-coding","ENSMUSG00000022865",13052
1527,"ENSG00000278057","TEX28","testis expressed 28","protein-coding","ENSMUSG00000062564",385380
1528,"ENSG00000166347","CYB5A","cytochrome b5 type A","protein-coding","ENSMUSG00000024646",109672
1534,"ENSG00000008283","CYB561","cytochrome b561","protein-coding","ENSMUSG00000019590",13056
1535,"ENSG00000051523","CYBA","cytochrome b-245 alpha chain","protein-coding","ENSMUSG00000006519",13057
1536,"ENSG00000165168","CYBB","cytochrome b-245 beta chain","protein-coding","ENSMUSG00000015340",13058
1537,"ENSG00000179091","CYC1","cytochrome c1","protein-coding","ENSMUSG00000022551",66445
1538,"ENSG00000183035","CYLC1","cylicin 1","protein-coding","ENSMUSG00000073001",67407
1539,"ENSG00000155833","CYLC2","cylicin 2","protein-coding","ENSMUSG00000039555",74914
1540,"ENSG00000083799","CYLD","CYLD lysine 63 deubiquitinase","protein-coding","ENSMUSG00000036712",74256
1543,"ENSG00000140465","CYP1A1","cytochrome P450 family 1 subfamily A member 1","protein-coding","ENSMUSG00000032315",13076
1545,"ENSG00000138061","CYP1B1","cytochrome P450 family 1 subfamily B member 1","protein-coding","ENSMUSG00000024087",13078
1571,"ENSG00000130649","CYP2E1","cytochrome P450 family 2 subfamily E member 1","protein-coding","ENSMUSG00000025479",13106
1572,"ENSG00000197446","CYP2F1","cytochrome P450 family 2 subfamily F member 1","protein-coding","ENSMUSG00000052974",13107
1580,"ENSG00000142973","CYP4B1","cytochrome P450 family 4 subfamily B member 1","protein-coding","ENSMUSG00000028713",13120
1581,"ENSG00000167910","CYP7A1","cytochrome P450 family 7 subfamily A member 1","protein-coding","ENSMUSG00000028240",13122
1582,"ENSG00000180432","CYP8B1","cytochrome P450 family 8 subfamily B member 1","protein-coding","ENSMUSG00000050445",13124
1583,"ENSG00000140459","CYP11A1","cytochrome P450 family 11 subfamily A member 1","protein-coding","ENSMUSG00000032323",13070
1585,"ENSG00000179142","CYP11B2","cytochrome P450 family 11 subfamily B member 2","protein-coding","ENSMUSG00000022589",13072
1586,"ENSG00000148795","CYP17A1","cytochrome P450 family 17 subfamily A member 1","protein-coding","ENSMUSG00000003555",13074
1588,"ENSG00000137869","CYP19A1","cytochrome P450 family 19 subfamily A member 1","protein-coding","ENSMUSG00000032274",13075
1589,"ENSG00000198457","CYP21A2","cytochrome P450 family 21 subfamily A member 2","protein-coding","ENSMUSG00000024365",13079
1591,"ENSG00000019186","CYP24A1","cytochrome P450 family 24 subfamily A member 1","protein-coding","ENSMUSG00000038567",13081
1592,"ENSG00000095596","CYP26A1","cytochrome P450 family 26 subfamily A member 1","protein-coding","ENSMUSG00000024987",13082
1593,"ENSG00000135929","CYP27A1","cytochrome P450 family 27 subfamily A member 1","protein-coding","ENSMUSG00000026170",104086
1594,"ENSG00000111012","CYP27B1","cytochrome P450 family 27 subfamily B member 1","protein-coding","ENSMUSG00000006724",13115
1595,"ENSG00000001630","CYP51A1","cytochrome P450 family 51 subfamily A member 1","protein-coding","ENSMUSG00000001467",13121
1600,"ENSG00000173406","DAB1","DAB adaptor protein 1","protein-coding","ENSMUSG00000028519",13131
1601,"ENSG00000153071","DAB2","DAB adaptor protein 2","protein-coding","ENSMUSG00000022150",13132
1602,"ENSG00000276644","DACH1","dachshund family transcription factor 1","protein-coding","ENSMUSG00000055639",13134
1603,"ENSG00000129562","DAD1","defender against cell death 1","protein-coding","ENSMUSG00000022174",13135
1604,"ENSG00000196352","CD55","CD55 molecule (Cromer blood group)","protein-coding","ENSMUSG00000026399",13136
1605,"ENSG00000173402","DAG1","dystroglycan 1","protein-coding","ENSMUSG00000039952",13138
1606,"ENSG00000065357","DGKA","diacylglycerol kinase alpha","protein-coding","ENSMUSG00000025357",13139
1607,"ENSG00000136267","DGKB","diacylglycerol kinase beta","protein-coding","ENSMUSG00000036095",217480
1608,"ENSG00000058866","DGKG","diacylglycerol kinase gamma","protein-coding","ENSMUSG00000022861",110197
1609,"ENSG00000145214","DGKQ","diacylglycerol kinase theta","protein-coding","ENSMUSG00000004815",110524
1610,"ENSG00000110887","DAO","D-amino acid oxidase","protein-coding","ENSMUSG00000042096",13142
1611,"ENSG00000112977","DAP","death associated protein","protein-coding","ENSMUSG00000039168",223453
1612,"ENSG00000196730","DAPK1","death associated protein kinase 1","protein-coding","ENSMUSG00000021559",69635
1613,"ENSG00000167657","DAPK3","death associated protein kinase 3","protein-coding","ENSMUSG00000034974",13144
1615,"ENSG00000115866","DARS1","aspartyl-tRNA synthetase 1","protein-coding","ENSMUSG00000026356",226414
1616,"ENSG00000204209","DAXX","death domain associated protein","protein-coding","ENSMUSG00000002307",13163
1618,"ENSG00000092345","DAZL","deleted in azoospermia like","protein-coding","ENSMUSG00000010592",13164
1620,"ENSG00000078725","BRINP1","BMP/retinoic acid inducible neural specific 1","protein-coding","ENSMUSG00000028351",56710
1621,"ENSG00000123454","DBH","dopamine beta-hydroxylase","protein-coding","ENSMUSG00000000889",13166
1622,"ENSG00000155368","DBI","diazepam binding inhibitor, acyl-CoA binding protein","protein-coding","ENSMUSG00000026385",13167
1627,"ENSG00000113758","DBN1","drebrin 1","protein-coding","ENSMUSG00000034675",56320
1628,"ENSG00000105516","DBP","D-box binding PAR bZIP transcription factor","protein-coding","ENSMUSG00000059824",13170
1629,"ENSG00000137992","DBT","dihydrolipoamide branched chain transacylase E2","protein-coding","ENSMUSG00000000340",13171
1630,"ENSG00000187323","DCC","DCC netrin 1 receptor","protein-coding","ENSMUSG00000060534",13176
1632,"ENSG00000167969","ECI1","enoyl-CoA delta isomerase 1","protein-coding","ENSMUSG00000024132",13177
1633,"ENSG00000156136","DCK","deoxycytidine kinase","protein-coding","ENSMUSG00000029366",13178
1634,"ENSG00000011465","DCN","decorin","protein-coding","ENSMUSG00000019929",13179
1635,"ENSG00000129187","DCTD","dCMP deaminase","protein-coding","ENSMUSG00000031562",320685
1636,"ENSG00000159640","ACE","angiotensin I converting enzyme","protein-coding","ENSMUSG00000020681",11421
1638,"ENSG00000080166","DCT","dopachrome tautomerase","protein-coding","ENSMUSG00000022129",13190
1639,"ENSG00000204843","DCTN1","dynactin subunit 1","protein-coding","ENSMUSG00000031865",13191
1641,"ENSG00000077279","DCX","doublecortin","protein-coding","ENSMUSG00000031285",13193
1642,"ENSG00000167986","DDB1","damage specific DNA binding protein 1","protein-coding","ENSMUSG00000024740",13194
1643,"ENSG00000134574","DDB2","damage specific DNA binding protein 2","protein-coding","ENSMUSG00000002109",107986
1644,"ENSG00000132437","DDC","dopa decarboxylase","protein-coding","ENSMUSG00000020182",13195
1647,"ENSG00000116717","GADD45A","growth arrest and DNA damage inducible alpha","protein-coding","ENSMUSG00000036390",13197
1649,"ENSG00000175197","DDIT3","DNA damage inducible transcript 3","protein-coding","ENSMUSG00000025408",13198
1650,"ENSG00000244038","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit","protein-coding","ENSMUSG00000028757",13200
1652,"ENSG00000099977","DDT","D-dopachrome tautomerase","protein-coding","ENSMUSG00000001666",13202
1653,"ENSG00000079785","DDX1","DEAD-box helicase 1","protein-coding","ENSMUSG00000037149",104721
1654,"ENSG00000215301","DDX3X","DEAD-box helicase 3 X-linked","protein-coding","ENSMUSG00000000787",13205
1655,"ENSG00000108654","DDX5","DEAD-box helicase 5","protein-coding","ENSMUSG00000020719",13207
1656,"ENSG00000110367","DDX6","DEAD-box helicase 6","protein-coding","ENSMUSG00000032097",13209
1657,"ENSG00000172869","DMXL1","Dmx like 1","protein-coding","ENSMUSG00000037416",240283
1659,"ENSG00000067596","DHX8","DEAH-box helicase 8","protein-coding","ENSMUSG00000034931",217207
1660,"ENSG00000135829","DHX9","DExH-box helicase 9","protein-coding","ENSMUSG00000042699",13211
1662,"ENSG00000178105","DDX10","DEAD-box helicase 10","protein-coding","ENSMUSG00000053289",77591
1663,"ENSG00000013573","DDX11","DEAD/H-box helicase 11","protein-coding","ENSMUSG00000035842",320209
1665,"ENSG00000109606","DHX15","DEAH-box helicase 15","protein-coding","ENSMUSG00000029169",13204
1666,"ENSG00000104325","DECR1","2,4-dienoyl-CoA reductase 1","protein-coding","ENSMUSG00000028223",67460
1671,"ENSG00000164822","DEFA6","defensin alpha 6","protein-coding",NA,13240
1674,"ENSG00000175084","DES","desmin","protein-coding","ENSMUSG00000026208",13346
1675,"ENSG00000197766","CFD","complement factor D","protein-coding","ENSMUSG00000061780",11537
1676,"ENSG00000160049","DFFA","DNA fragmentation factor subunit alpha","protein-coding","ENSMUSG00000028974",13347
1677,"ENSG00000169598","DFFB","DNA fragmentation factor subunit beta","protein-coding","ENSMUSG00000029027",13368
1678,"ENSG00000126953","TIMM8A","translocase of inner mitochondrial membrane 8A","protein-coding","ENSMUSG00000048007",30058
1687,"ENSG00000105928","GSDME","gasdermin E","protein-coding","ENSMUSG00000029821",54722
1690,"ENSG00000100473","COCH","cochlin","protein-coding","ENSMUSG00000020953",12810
1716,"ENSG00000114956","DGUOK","deoxyguanosine kinase","protein-coding","ENSMUSG00000014554",27369
1717,"ENSG00000172893","DHCR7","7-dehydrocholesterol reductase","protein-coding","ENSMUSG00000058454",13360
1718,"ENSG00000116133","DHCR24","24-dehydrocholesterol reductase","protein-coding","ENSMUSG00000034926",74754
1719,"ENSG00000228716","DHFR","dihydrofolate reductase","protein-coding","ENSMUSG00000021707",13361
1723,"ENSG00000102967","DHODH","dihydroorotate dehydrogenase (quinone)","protein-coding","ENSMUSG00000031730",56749
1725,"ENSG00000095059","DHPS","deoxyhypusine synthase","protein-coding","ENSMUSG00000060038",330817
1727,"ENSG00000100243","CYB5R3","cytochrome b5 reductase 3","protein-coding","ENSMUSG00000018042",109754
1728,"ENSG00000181019","NQO1","NAD(P)H quinone dehydrogenase 1","protein-coding","ENSMUSG00000003849",18104
1729,"ENSG00000131504","DIAPH1","diaphanous related formin 1","protein-coding","ENSMUSG00000024456",13367
1730,"ENSG00000147202","DIAPH2","diaphanous related formin 2","protein-coding","ENSMUSG00000034480",54004
1731,"ENSG00000180096","SEPTIN1","septin 1","protein-coding","ENSMUSG00000000486",54204
1733,"ENSG00000211452","DIO1","iodothyronine deiodinase 1","protein-coding","ENSMUSG00000034785",13370
1734,"ENSG00000211448","DIO2","iodothyronine deiodinase 2","protein-coding","ENSMUSG00000007682",13371
1735,"ENSG00000197406","DIO3","iodothyronine deiodinase 3","protein-coding","ENSMUSG00000075707",107585
1736,"ENSG00000130826","DKC1","dyskerin pseudouridine synthase 1","protein-coding","ENSMUSG00000031403",245474
1737,"ENSG00000150768","DLAT","dihydrolipoamide S-acetyltransferase","protein-coding","ENSMUSG00000000168",235339
1738,"ENSG00000091140","DLD","dihydrolipoamide dehydrogenase","protein-coding","ENSMUSG00000020664",13382
1739,"ENSG00000075711","DLG1","discs large MAGUK scaffold protein 1","protein-coding","ENSMUSG00000022770",13383
1740,"ENSG00000150672","DLG2","discs large MAGUK scaffold protein 2","protein-coding","ENSMUSG00000052572",23859
1741,"ENSG00000082458","DLG3","discs large MAGUK scaffold protein 3","protein-coding","ENSMUSG00000000881",53310
1742,"ENSG00000132535","DLG4","discs large MAGUK scaffold protein 4","protein-coding","ENSMUSG00000020886",13385
1743,"ENSG00000119689","DLST","dihydrolipoamide S-succinyltransferase","protein-coding","ENSMUSG00000004789",78920
1745,"ENSG00000144355","DLX1","distal-less homeobox 1","protein-coding","ENSMUSG00000041911",13390
1746,"ENSG00000115844","DLX2","distal-less homeobox 2","protein-coding","ENSMUSG00000023391",13392
1747,"ENSG00000064195","DLX3","distal-less homeobox 3","protein-coding","ENSMUSG00000001510",13393
1748,"ENSG00000108813","DLX4","distal-less homeobox 4","protein-coding","ENSMUSG00000020871",13394
1749,"ENSG00000105880","DLX5","distal-less homeobox 5","protein-coding","ENSMUSG00000029755",13395
1750,"ENSG00000006377","DLX6","distal-less homeobox 6","protein-coding","ENSMUSG00000029754",13396
1755,"ENSG00000187908","DMBT1","deleted in malignant brain tumors 1","protein-coding","ENSMUSG00000047517",12945
1756,"ENSG00000198947","DMD","dystrophin","protein-coding","ENSMUSG00000045103",13405
1757,"ENSG00000123453","SARDH","sarcosine dehydrogenase","protein-coding","ENSMUSG00000009614",192166
1758,"ENSG00000152592","DMP1","dentin matrix acidic phosphoprotein 1","protein-coding","ENSMUSG00000029307",13406
1759,"ENSG00000106976","DNM1","dynamin 1","protein-coding","ENSMUSG00000026825",13429
1760,"ENSG00000104936","DMPK","DM1 protein kinase","protein-coding","ENSMUSG00000030409",13400
1761,"ENSG00000137090","DMRT1","doublesex and mab-3 related transcription factor 1","protein-coding","ENSMUSG00000024837",50796
1762,"ENSG00000185800","DMWD","DM1 locus, WD repeat containing","protein-coding","ENSMUSG00000030410",13401
1763,"ENSG00000138346","DNA2","DNA replication helicase/nuclease 2","protein-coding","ENSMUSG00000036875",327762
1767,"ENSG00000039139","DNAH5","dynein axonemal heavy chain 5","protein-coding","ENSMUSG00000022262",110082
1768,"ENSG00000115423","DNAH6","dynein axonemal heavy chain 6","protein-coding","ENSMUSG00000052861",330355
1769,"ENSG00000124721","DNAH8","dynein axonemal heavy chain 8","protein-coding","ENSMUSG00000033826",13417
1770,"ENSG00000007174","DNAH9","dynein axonemal heavy chain 9","protein-coding","ENSMUSG00000056752",237806
1773,"ENSG00000213918","DNASE1","deoxyribonuclease 1","protein-coding","ENSMUSG00000005980",13419
1774,"ENSG00000013563","DNASE1L1","deoxyribonuclease 1 like 1","protein-coding","ENSMUSG00000019088",69537
1775,"ENSG00000167968","DNASE1L2","deoxyribonuclease 1 like 2","protein-coding","ENSMUSG00000024136",66705
1776,"ENSG00000163687","DNASE1L3","deoxyribonuclease 1 like 3","protein-coding","ENSMUSG00000025279",13421
1777,"ENSG00000105612","DNASE2","deoxyribonuclease 2, lysosomal","protein-coding","ENSMUSG00000003812",13423
1778,"ENSG00000197102","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","protein-coding","ENSMUSG00000018707",13424
1780,"ENSG00000158560","DYNC1I1","dynein cytoplasmic 1 intermediate chain 1","protein-coding","ENSMUSG00000029757",13426
1781,"ENSG00000077380","DYNC1I2","dynein cytoplasmic 1 intermediate chain 2","protein-coding","ENSMUSG00000027012",13427
1783,"ENSG00000135720","DYNC1LI2","dynein cytoplasmic 1 light intermediate chain 2","protein-coding","ENSMUSG00000035770",234663
1785,"ENSG00000079805","DNM2","dynamin 2","protein-coding","ENSMUSG00000033335",13430
1786,"ENSG00000130816","DNMT1","DNA methyltransferase 1","protein-coding","ENSMUSG00000004099",13433
1787,"ENSG00000107614","TRDMT1","tRNA aspartic acid methyltransferase 1","protein-coding","ENSMUSG00000026723",13434
1788,"ENSG00000119772","DNMT3A","DNA methyltransferase 3 alpha","protein-coding","ENSMUSG00000020661",13435
1789,"ENSG00000088305","DNMT3B","DNA methyltransferase 3 beta","protein-coding","ENSMUSG00000027478",13436
1791,"ENSG00000107447","DNTT","DNA nucleotidylexotransferase","protein-coding","ENSMUSG00000025014",21673
1793,"ENSG00000150760","DOCK1","dedicator of cytokinesis 1","protein-coding","ENSMUSG00000058325",330662
1794,"ENSG00000134516","DOCK2","dedicator of cytokinesis 2","protein-coding","ENSMUSG00000020143",94176
1795,"ENSG00000088538","DOCK3","dedicator of cytokinesis 3","protein-coding","ENSMUSG00000039716",208869
1796,"ENSG00000115325","DOK1","docking protein 1","protein-coding","ENSMUSG00000068335",13448
