"human_geneid","human_EnsemblID","human_Symbol","human_type_of_gene","human_description","marmoset_EnsemblID","marmoset_geneid","marmoset_Symbol","mouse_EnsemblID","mouse_geneid","mouse_Symbol","rhesus_macaque_EnsemblID","rhesus_macaque_geneid","rhesus_macaque_Symbol"
8682,"ENSG00000162734","PEA15","protein-coding","proliferation and apoptosis adaptor protein 15","ENSCJAG00000005952",100405211,"PEA15","ENSMUSG00000013698",18611,"Pea15a","ENSMMUG00000017838",100423681,"PEA15"
8683,"ENSG00000111786","SRSF9","protein-coding","serine and arginine rich splicing factor 9","ENSCJAG00000001187",100389324,"SRSF9","ENSMUSG00000029538",108014,"Srsf9","ENSMMUG00000016494",697191,"SRSF9"
8685,"ENSG00000019169","MARCO","protein-coding","macrophage receptor with collagenous structure",NA,100405369,"MARCO","ENSMUSG00000026390",17167,"Marco","ENSMMUG00000002610",694432,"MARCO"
8688,"ENSG00000108417","KRT37","protein-coding","keratin 37",NA,NA,NA,NA,NA,NA,"ENSMMUG00000018643",706274,"KRT37"
8689,"ENSG00000126337","KRT36","protein-coding","keratin 36","ENSCJAG00000002389",100398117,"KRT36","ENSMUSG00000020916",16673,"Krt36","ENSMMUG00000018646",706724,"KRT36"
8690,"ENSG00000183340","JRKL","protein-coding","JRK like",NA,100386091,"JRKL","ENSMUSG00000079083",77532,"Jrkl","ENSMMUG00000003821",700327,"JRKL"
8692,"ENSG00000068001","HYAL2","protein-coding","hyaluronidase 2","ENSCJAG00000005109",100407141,"HYAL2","ENSMUSG00000010047",15587,"Hyal2","ENSMMUG00000006994",702484,"HYAL2"
8693,"ENSG00000257594","GALNT4","protein-coding","polypeptide N-acetylgalactosaminyltransferase 4",NA,100408557,"GALNT4","ENSMUSG00000090035",14426,"Galnt4",NA,100430612,"GALNT4"
8694,"ENSG00000185000","DGAT1","protein-coding","diacylglycerol O-acyltransferase 1","ENSCJAG00000021408",100402659,"DGAT1","ENSMUSG00000022555",13350,"Dgat1","ENSMMUG00000000825",701489,"DGAT1"
8697,"ENSG00000094880","CDC23","protein-coding","cell division cycle 23","ENSCJAG00000006418",100403502,"CDC23","ENSMUSG00000024370",52563,"Cdc23","ENSMMUG00000001515",714000,"CDC23"
8698,"ENSG00000125910","S1PR4","protein-coding","sphingosine-1-phosphate receptor 4",NA,NA,NA,"ENSMUSG00000044199",13611,"S1pr4",NA,712637,"S1PR4"
8701,"ENSG00000105877","DNAH11","protein-coding","dynein axonemal heavy chain 11",NA,100399216,"DNAH11","ENSMUSG00000018581",13411,"Dnah11","ENSMMUG00000022764",712022,"DNAH11"
8702,"ENSG00000121578","B4GALT4","protein-coding","beta-1,4-galactosyltransferase 4",NA,100402903,"B4GALT4","ENSMUSG00000022793",56375,"B4galt4","ENSMMUG00000003592",711983,"B4GALT4"
8703,"ENSG00000158850","B4GALT3","protein-coding","beta-1,4-galactosyltransferase 3","ENSCJAG00000005146",100413633,"B4GALT3","ENSMUSG00000052423",57370,"B4galt3","ENSMMUG00000022629",719920,"B4GALT3"
8704,"ENSG00000117411","B4GALT2","protein-coding","beta-1,4-galactosyltransferase 2",NA,100414763,"B4GALT2","ENSMUSG00000028541",53418,"B4galt2","ENSMMUG00000015155",704038,"B4GALT2"
8705,"ENSG00000235863","B3GALT4","protein-coding","beta-1,3-galactosyltransferase 4",NA,100386867,"B3GALT4","ENSMUSG00000067370",54218,"B3galt4","ENSMMUG00000064507",718178,"B3GALT4"
8706,"ENSG00000169255","B3GALNT1","protein-coding","beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)","ENSCJAG00000002934",100412790,"B3GALNT1","ENSMUSG00000043300",26879,"B3galnt1","ENSMMUG00000003541",703939,"B3GALNT1"
8707,"ENSG00000162630","B3GALT2","protein-coding","beta-1,3-galactosyltransferase 2","ENSCJAG00000008559",100394818,"B3GALT2","ENSMUSG00000033849",26878,"B3galt2","ENSMMUG00000022648",712334,"B3GALT2"
8708,"ENSG00000172318","B3GALT1","protein-coding","beta-1,3-galactosyltransferase 1",NA,100414400,"B3GALT1","ENSMUSG00000034780",26877,"B3galt1","ENSMMUG00000021775",704744,"B3GALT1"
8710,"ENSG00000166396","SERPINB7","protein-coding","serpin family B member 7","ENSCJAG00000033719",100406509,"SERPINB7","ENSMUSG00000067001",116872,"Serpinb7","ENSMMUG00000016615",701671,"SERPINB7"
8711,"ENSG00000174292","TNK1","protein-coding","tyrosine kinase non receptor 1",NA,100395452,"TNK1","ENSMUSG00000001583",83813,"Tnk1","ENSMMUG00000015616",715180,"TNK1"
8712,"ENSG00000068985","PAGE1","protein-coding","PAGE family member 1",NA,100387828,"PAGE1",NA,NA,NA,"ENSMMUG00000017015",693588,"PAGE1"
8714,"ENSG00000108846","ABCC3","protein-coding","ATP binding cassette subfamily C member 3",NA,100414756,"ABCC3","ENSMUSG00000020865",76408,"Abcc3","ENSMMUG00000003414",706339,"ABCC3"
8715,"ENSG00000101746","NOL4","protein-coding","nucleolar protein 4","ENSCJAG00000020928",100388142,"NOL4","ENSMUSG00000041923",319211,"Nol4","ENSMMUG00000017276",707772,"NOL4"
8717,"ENSG00000102871","TRADD","protein-coding","TNFRSF1A associated via death domain","ENSCJAG00000016502",100401347,"TRADD","ENSMUSG00000031887",71609,"Tradd","ENSMMUG00000060314",698160,"TRADD"
8718,"ENSG00000215788","TNFRSF25","protein-coding","TNF receptor superfamily member 25",NA,100390883,"TNFRSF25","ENSMUSG00000024793",85030,"Tnfrsf25","ENSMMUG00000023677",703744,"TNFRSF25"
8720,"ENSG00000140943","MBTPS1","protein-coding","membrane bound transcription factor peptidase, site 1","ENSCJAG00000003829",100402317,"MBTPS1","ENSMUSG00000031835",56453,"Mbtps1","ENSMMUG00000020053",714706,"MBTPS1"
8721,"ENSG00000107223","EDF1","protein-coding","endothelial differentiation related factor 1","ENSCJAG00000011166",100403495,"EDF1","ENSMUSG00000015092",59022,"Edf1",NA,708611,"EDF1"
8722,"ENSG00000174080","CTSF","protein-coding","cathepsin F","ENSCJAG00000001318",100398631,"CTSF","ENSMUSG00000083282",56464,"Ctsf","ENSMMUG00000002496",713743,"CTSF"
8723,"ENSG00000114520","SNX4","protein-coding","sorting nexin 4","ENSCJAG00000006787",100392994,"SNX4","ENSMUSG00000022808",69150,"Snx4","ENSMMUG00000011106",716049,"SNX4"
8724,"ENSG00000112335","SNX3","protein-coding","sorting nexin 3",NA,100393028,"SNX3","ENSMUSG00000019804",54198,"Snx3","ENSMMUG00000020366",700989,"SNX3"
8725,"ENSG00000105176","URI1","protein-coding","URI1 prefoldin like chaperone","ENSCJAG00000001823",100399412,"URI1","ENSMUSG00000030421",19777,"Uri1","ENSMMUG00000018441",700838,"URI1"
8726,"ENSG00000074266","EED","protein-coding","embryonic ectoderm development","ENSCJAG00000014209",100411214,"EED","ENSMUSG00000030619",13626,"Eed","ENSMMUG00000019621",703866,"EED"
8727,"ENSG00000119326","CTNNAL1","protein-coding","catenin alpha like 1","ENSCJAG00000017065",100409910,"CTNNAL1","ENSMUSG00000038816",54366,"Ctnnal1","ENSMMUG00000000690",710389,"CTNNAL1"
8728,"ENSG00000135074","ADAM19","protein-coding","ADAM metallopeptidase domain 19","ENSCJAG00000018932",100389375,"ADAM19","ENSMUSG00000011256",11492,"Adam19","ENSMMUG00000021549",715164,"ADAM19"
8729,"ENSG00000107862","GBF1","protein-coding","golgi brefeldin A resistant guanine nucleotide exchange factor 1",NA,100396457,"GBF1","ENSMUSG00000025224",107338,"Gbf1","ENSMMUG00000002985",714579,"GBF1"
8731,"ENSG00000101654","RNMT","protein-coding","RNA guanine-7 methyltransferase",NA,100407846,"RNMT","ENSMUSG00000009535",67897,"Rnmt","ENSMMUG00000003485",100430132,"RNMT"
8732,"ENSG00000111880","RNGTT","protein-coding","RNA guanylyltransferase and 5'-phosphatase","ENSCJAG00000000780",100394937,"RNGTT","ENSMUSG00000028274",24018,"Rngtt","ENSMMUG00000020097",702334,"RNGTT"
8733,"ENSG00000197858","GPAA1","protein-coding","glycosylphosphatidylinositol anchor attachment 1","ENSCJAG00000021455",100392749,"GPAA1","ENSMUSG00000022561",14731,"Gpaa1","ENSMMUG00000007161",699887,"GPAA1"
8735,"ENSG00000006788","MYH13","protein-coding","myosin heavy chain 13",NA,100395451,"MYH13","ENSMUSG00000060180",544791,"Myh13","ENSMMUG00000009759",717848,"MYH13"
8736,"ENSG00000101605","MYOM1","protein-coding","myomesin 1",NA,100414924,"MYOM1","ENSMUSG00000024049",17929,"Myom1","ENSMMUG00000019892",695301,"MYOM1"
8737,"ENSG00000137275","RIPK1","protein-coding","receptor interacting serine/threonine kinase 1","ENSCJAG00000017707",100415562,"RIPK1","ENSMUSG00000021408",19766,"Ripk1","ENSMMUG00000008485",708013,"RIPK1"
8738,"ENSG00000169372","CRADD","protein-coding","CASP2 and RIPK1 domain containing adaptor with death domain","ENSCJAG00000002958",100396932,"CRADD","ENSMUSG00000045867",12905,"Cradd","ENSMMUG00000012670",711165,"CRADD"
8739,"ENSG00000135116","HRK","protein-coding","harakiri, BCL2 interacting protein",NA,100398384,"HRK","ENSMUSG00000046607",12123,"Hrk",NA,107001036,"HRK"
8740,"ENSG00000125735","TNFSF14","protein-coding","TNF superfamily member 14","ENSCJAG00000016519",100386513,"TNFSF14","ENSMUSG00000005824",50930,"Tnfsf14","ENSMMUG00000051945",701451,"TNFSF14"
8741,"ENSG00000161955","TNFSF13","protein-coding","TNF superfamily member 13","ENSCJAG00000032369",100551510,"TNFSF13","ENSMUSG00000089669",69583,"Tnfsf13","ENSMMUG00000006327",100551507,"TNFSF13"
8742,"ENSG00000239697","TNFSF12","protein-coding","TNF superfamily member 12","ENSCJAG00000032369",100551509,"TNFSF12","ENSMUSG00000097328",21944,"Tnfsf12",NA,NA,NA
8743,"ENSG00000121858","TNFSF10","protein-coding","TNF superfamily member 10","ENSCJAG00000002203",100396000,"TNFSF10","ENSMUSG00000039304",22035,"Tnfsf10","ENSMMUG00000019302",694451,"TNFSF10"
8744,"ENSG00000125657","TNFSF9","protein-coding","TNF superfamily member 9","ENSCJAG00000016530",100386159,"TNFSF9","ENSMUSG00000035678",21950,"Tnfsf9","ENSMMUG00000001985",700588,"TNFSF9"
8745,"ENSG00000114948","ADAM23","protein-coding","ADAM metallopeptidase domain 23","ENSCJAG00000005821",100404532,"ADAM23","ENSMUSG00000025964",23792,"Adam23","ENSMMUG00000011641",707757,"ADAM23"
8747,"ENSG00000139985","ADAM21","protein-coding","ADAM metallopeptidase domain 21",NA,NA,NA,NA,NA,NA,"ENSMMUG00000011084",715640,"ADAM21"
8748,"ENSG00000134007","ADAM20","protein-coding","ADAM metallopeptidase domain 20",NA,108593521,"ADAM20",NA,NA,NA,NA,NA,NA
8749,"ENSG00000168619","ADAM18","protein-coding","ADAM metallopeptidase domain 18",NA,NA,NA,"ENSMUSG00000031552",13524,"Adam18",NA,NA,NA
8751,"ENSG00000143537","ADAM15","protein-coding","ADAM metallopeptidase domain 15",NA,100393011,"ADAM15","ENSMUSG00000028041",11490,"Adam15","ENSMMUG00000023340",719030,"ADAM15"
8754,"ENSG00000168615","ADAM9","protein-coding","ADAM metallopeptidase domain 9","ENSCJAG00000002262",100397323,"ADAM9","ENSMUSG00000031555",11502,"Adam9","ENSMMUG00000006033",701124,"ADAM9"
8756,"ENSG00000069206","ADAM7","protein-coding","ADAM metallopeptidase domain 7","ENSCJAG00000020053",100410866,"ADAM7","ENSMUSG00000022056",11500,"Adam7","ENSMMUG00000007909",100427614,"ADAM7"
8760,"ENSG00000101290","CDS2","protein-coding","CDP-diacylglycerol synthase 2","ENSCJAG00000021280",100415702,"CDS2","ENSMUSG00000058793",110911,"Cds2","ENSMMUG00000013261",718026,"CDS2"
8761,"ENSG00000090621","PABPC4","protein-coding","poly(A) binding protein cytoplasmic 4",NA,100399096,"PABPC4","ENSMUSG00000011257",230721,"Pabpc4","ENSMMUG00000007497",716083,"PABPC4"
8763,"ENSG00000135535","CD164","protein-coding","CD164 molecule","ENSCJAG00000005791",100392406,"CD164","ENSMUSG00000019818",53599,"Cd164","ENSMMUG00000007011",699242,"CD164"
8764,"ENSG00000157873","TNFRSF14","protein-coding","TNF receptor superfamily member 14",NA,100403077,"TNFRSF14","ENSMUSG00000042333",230979,"Tnfrsf14","ENSMMUG00000016329",695042,"TNFRSF14"
8766,"ENSG00000103769","RAB11A","protein-coding","RAB11A, member RAS oncogene family","ENSCJAG00000007333",100386325,"RAB11A","ENSMUSG00000004771",53869,"Rab11a","ENSMMUG00000008006",714144,"RAB11A"
8767,"ENSG00000104312","RIPK2","protein-coding","receptor interacting serine/threonine kinase 2","ENSCJAG00000000226",100404956,"RIPK2","ENSMUSG00000041135",192656,"Ripk2","ENSMMUG00000020725",695567,"RIPK2"
8771,"ENSG00000243509","TNFRSF6B","protein-coding","TNF receptor superfamily member 6b",NA,NA,NA,NA,NA,NA,"ENSMMUG00000045470",114669829,"TNFRSF6B"
8772,"ENSG00000168040","FADD","protein-coding","Fas associated via death domain",NA,100410616,"FADD","ENSMUSG00000031077",14082,"Fadd",NA,708606,"FADD"
8773,"ENSG00000092531","SNAP23","protein-coding","synaptosome associated protein 23",NA,100390512,"SNAP23","ENSMUSG00000027287",20619,"Snap23","ENSMMUG00000014043",708225,"SNAP23"
8774,"ENSG00000134265","NAPG","protein-coding","NSF attachment protein gamma","ENSCJAG00000004590",100388615,"NAPG","ENSMUSG00000024581",108123,"Napg","ENSMMUG00000054422",704546,"NAPG"
8775,"ENSG00000105402","NAPA","protein-coding","NSF attachment protein alpha",NA,100411873,"NAPA","ENSMUSG00000006024",108124,"Napa","ENSMMUG00000014727",717355,"NAPA"
8776,"ENSG00000063601","MTMR1","protein-coding","myotubularin related protein 1","ENSCJAG00000003991",100388332,"MTMR1","ENSMUSG00000015214",53332,"Mtmr1","ENSMMUG00000016607",708892,"MTMR1"
8777,"ENSG00000107186","MPDZ","protein-coding","multiple PDZ domain crumbs cell polarity complex component",NA,100397073,"MPDZ","ENSMUSG00000028402",17475,"Mpdz","ENSMMUG00000019388",715817,"MPDZ"
8778,"ENSG00000268500","SIGLEC5","protein-coding","sialic acid binding Ig like lectin 5",NA,NA,NA,NA,NA,NA,"ENSMMUG00000012761",719730,"SIGLEC5"
8780,"ENSG00000101782","RIOK3","protein-coding","RIO kinase 3","ENSCJAG00000020556",100400093,"RIOK3","ENSMUSG00000024404",66878,"Riok3","ENSMMUG00000021478",700711,"RIOK3"
8784,"ENSG00000186891","TNFRSF18","protein-coding","TNF receptor superfamily member 18","ENSCJAG00000011360",100407686,"TNFRSF18","ENSMUSG00000041954",21936,"Tnfrsf18","ENSMMUG00000014205",699559,"TNFRSF18"
8785,"ENSG00000124159","MATN4","protein-coding","matrilin 4",NA,100400381,"MATN4","ENSMUSG00000016995",17183,"Matn4","ENSMMUG00000003402",717652,"MATN4"
8786,"ENSG00000076344","RGS11","protein-coding","regulator of G protein signaling 11",NA,100391745,"RGS11","ENSMUSG00000024186",50782,"Rgs11","ENSMMUG00000000602",694588,"RGS11"
8787,"ENSG00000108370","RGS9","protein-coding","regulator of G protein signaling 9",NA,100399791,"RGS9","ENSMUSG00000020599",19739,"Rgs9","ENSMMUG00000014521",718549,"RGS9"
8788,"ENSG00000185559","DLK1","protein-coding","delta like non-canonical Notch ligand 1","ENSCJAG00000016972",100410727,"DLK1","ENSMUSG00000040856",13386,"Dlk1","ENSMMUG00000020038",707595,"DLK1"
8789,"ENSG00000130957","FBP2","protein-coding","fructose-bisphosphatase 2","ENSCJAG00000021334",100408581,"FBP2","ENSMUSG00000021456",14120,"Fbp2","ENSMMUG00000022535",100430821,"FBP2"
8790,"ENSG00000254685","FPGT","protein-coding","fucose-1-phosphate guanylyltransferase","ENSCJAG00000006412",100414295,"FPGT","ENSMUSG00000053870",75540,"Fpgt","ENSMMUG00000019488",100533986,"FPGT"
8792,"ENSG00000141655","TNFRSF11A","protein-coding","TNF receptor superfamily member 11a",NA,100393710,"TNFRSF11A","ENSMUSG00000026321",21934,"Tnfrsf11a","ENSMMUG00000002210",100424175,"TNFRSF11A"
8793,"ENSG00000173530","TNFRSF10D","protein-coding","TNF receptor superfamily member 10d",NA,NA,NA,NA,NA,NA,"ENSMMUG00000007542",716901,"TNFRSF10D"
8794,"ENSG00000173535","TNFRSF10C","protein-coding","TNF receptor superfamily member 10c",NA,NA,NA,NA,NA,NA,NA,100430035,"TNFRSF10C"
8795,"ENSG00000120889","TNFRSF10B","protein-coding","TNF receptor superfamily member 10b","ENSCJAG00000020135",100397442,"TNFRSF10B","ENSMUSG00000022074",21933,"Tnfrsf10b","ENSMMUG00000048076",716650,"TNFRSF10B"
8796,"ENSG00000136155","SCEL","protein-coding","sciellin","ENSCJAG00000021235",100405039,"SCEL","ENSMUSG00000022123",64929,"Scel","ENSMMUG00000000048",696980,"SCEL"
8797,"ENSG00000104689","TNFRSF10A","protein-coding","TNF receptor superfamily member 10a",NA,100395977,"TNFRSF10A",NA,NA,NA,"ENSMMUG00000007542",716826,"TNFRSF10A"
8798,"ENSG00000010219","DYRK4","protein-coding","dual specificity tyrosine phosphorylation regulated kinase 4",NA,NA,NA,"ENSMUSG00000030345",101320,"Dyrk4","ENSMMUG00000020811",710999,"DYRK4"
8799,"ENSG00000131779","PEX11B","protein-coding","peroxisomal biogenesis factor 11 beta","ENSCJAG00000002223",100400117,"PEX11B","ENSMUSG00000028102",18632,"Pex11b","ENSMMUG00000016048",698184,"PEX11B"
8800,"ENSG00000166821","PEX11A","protein-coding","peroxisomal biogenesis factor 11 alpha",NA,100406709,"PEX11A","ENSMUSG00000030545",18631,"Pex11a","ENSMMUG00000051701",700511,"PEX11A"
8801,"ENSG00000172340","SUCLG2","protein-coding","succinate-CoA ligase GDP-forming subunit beta","ENSCJAG00000013610",100389121,"SUCLG2","ENSMUSG00000061838",20917,"Suclg2","ENSMMUG00000009693",697454,"SUCLG2"
8802,"ENSG00000163541","SUCLG1","protein-coding","succinate-CoA ligase GDP/ADP-forming subunit alpha","ENSCJAG00000019805",100386944,"SUCLG1","ENSMUSG00000052738",56451,"Suclg1","ENSMMUG00000000908",693991,"SUCLG1"
8803,"ENSG00000136143","SUCLA2","protein-coding","succinate-CoA ligase ADP-forming subunit beta",NA,100400096,"SUCLA2","ENSMUSG00000022110",20916,"Sucla2","ENSMMUG00000007539",704434,"SUCLA2"
8804,"ENSG00000143162","CREG1","protein-coding","cellular repressor of E1A stimulated genes 1","ENSCJAG00000017047",100406911,"CREG1","ENSMUSG00000040713",433375,"Creg1","ENSMMUG00000063120",701021,"CREG1"
8805,"ENSG00000122779","TRIM24","protein-coding","tripartite motif containing 24","ENSCJAG00000012885",100408552,"TRIM24","ENSMUSG00000029833",21848,"Trim24","ENSMMUG00000002995",710229,"TRIM24"
8807,"ENSG00000115607","IL18RAP","protein-coding","interleukin 18 receptor accessory protein","ENSCJAG00000008255",100395019,"IL18RAP","ENSMUSG00000026068",16174,"Il18rap","ENSMMUG00000009246",712046,"IL18RAP"
8808,"ENSG00000115598","IL1RL2","protein-coding","interleukin 1 receptor like 2","ENSCJAG00000008327",100402522,"IL1RL2","ENSMUSG00000070942",107527,"Il1rl2","ENSMMUG00000016533",711812,"IL1RL2"
8809,"ENSG00000115604","IL18R1","protein-coding","interleukin 18 receptor 1",NA,100394659,"IL18R1","ENSMUSG00000026070",16182,"Il18r1","ENSMMUG00000009244",100426588,"IL18R1"
8811,"ENSG00000182687","GALR2","protein-coding","galanin receptor 2",NA,100392678,"GALR2","ENSMUSG00000020793",14428,"Galr2","ENSMMUG00000049812",705684,"GALR2"
8812,"ENSG00000090061","CCNK","protein-coding","cyclin K","ENSCJAG00000006738",100397308,"CCNK","ENSMUSG00000021258",12454,"Ccnk","ENSMMUG00000001201",716572,"CCNK"
8813,"ENSG00000000419","DPM1","protein-coding","dolichyl-phosphate mannosyltransferase subunit 1, catalytic","ENSCJAG00000000551",100413774,"DPM1","ENSMUSG00000078919",13480,"Dpm1","ENSMMUG00000002759",701283,"DPM1"
8814,"ENSG00000100490","CDKL1","protein-coding","cyclin dependent kinase like 1","ENSCJAG00000006334",100411561,"CDKL1","ENSMUSG00000020990",71091,"Cdkl1","ENSMMUG00000002616",705975,"CDKL1"
8815,"ENSG00000175334","BANF1","protein-coding","BAF nuclear assembly factor 1",NA,100391383,"BANF1","ENSMUSG00000024844",23825,"Banf1",NA,715124,"BANF1"
8816,"ENSG00000139990","DCAF5","protein-coding","DDB1 and CUL4 associated factor 5","ENSCJAG00000015006",100407829,"DCAF5","ENSMUSG00000049106",320808,"Dcaf5","ENSMMUG00000019346",714522,"DCAF5"
8817,"ENSG00000156427","FGF18","protein-coding","fibroblast growth factor 18","ENSCJAG00000019329",100402660,"FGF18","ENSMUSG00000057967",14172,"Fgf18","ENSMMUG00000019401",702072,"FGF18"
8818,"ENSG00000136908","DPM2","protein-coding","dolichyl-phosphate mannosyltransferase subunit 2, regulatory",NA,100388508,"DPM2","ENSMUSG00000026810",13481,"Dpm2","ENSMMUG00000014374",698709,"DPM2"
8819,"ENSG00000164105","SAP30","protein-coding","Sin3A associated protein 30","ENSCJAG00000005133",100401085,"SAP30","ENSMUSG00000031609",60406,"Sap30","ENSMMUG00000002401",696519,"SAP30"
8820,"ENSG00000163666","HESX1","protein-coding","HESX homeobox 1",NA,100389489,"HESX1","ENSMUSG00000040726",15209,"Hesx1","ENSMMUG00000007224",704551,"HESX1"
8821,"ENSG00000109452","INPP4B","protein-coding","inositol polyphosphate-4-phosphatase type II B","ENSCJAG00000002842",100408233,"INPP4B","ENSMUSG00000037940",234515,"Inpp4b","ENSMMUG00000003697",699738,"INPP4B"
8822,"ENSG00000158815","FGF17","protein-coding","fibroblast growth factor 17",NA,100401797,"FGF17","ENSMUSG00000022101",14171,"Fgf17","ENSMMUG00000002032",706659,"FGF17"
8823,"ENSG00000196468","FGF16","protein-coding","fibroblast growth factor 16",NA,100388550,"FGF16","ENSMUSG00000031230",80903,"Fgf16","ENSMMUG00000011744",705612,"FGF16"
8824,"ENSG00000172831","CES2","protein-coding","carboxylesterase 2",NA,100400260,"CES2",NA,NA,NA,"ENSMMUG00000022825",697524,"CES2"
8825,"ENSG00000111052","LIN7A","protein-coding","lin-7 homolog A, crumbs cell polarity complex component",NA,100390768,"LIN7A","ENSMUSG00000019906",108030,"Lin7a","ENSMMUG00000011671",697557,"LIN7A"
8826,"ENSG00000140575","IQGAP1","protein-coding","IQ motif containing GTPase activating protein 1","ENSCJAG00000009910",100398711,"IQGAP1","ENSMUSG00000030536",29875,"Iqgap1","ENSMMUG00000011882",709283,"IQGAP1"
8828,"ENSG00000118257","NRP2","protein-coding","neuropilin 2","ENSCJAG00000005577",100411420,"NRP2","ENSMUSG00000025969",18187,"Nrp2","ENSMMUG00000020052",574301,"NRP2"
8829,"ENSG00000099250","NRP1","protein-coding","neuropilin 1","ENSCJAG00000013753",100394500,"NRP1","ENSMUSG00000025810",18186,"Nrp1","ENSMMUG00000017588",697755,"NRP1"
8831,"ENSG00000197283","SYNGAP1","protein-coding","synaptic Ras GTPase activating protein 1",NA,100401593,"SYNGAP1","ENSMUSG00000067629",240057,"Syngap1","ENSMMUG00000010659",717858,"SYNGAP1"
8832,"ENSG00000066294","CD84","protein-coding","CD84 molecule","ENSCJAG00000005734",100404612,"CD84","ENSMUSG00000038147",12523,"Cd84","ENSMMUG00000015470",719738,"CD84"
8833,"ENSG00000163655","GMPS","protein-coding","guanine monophosphate synthase","ENSCJAG00000000863",100385655,"GMPS","ENSMUSG00000027823",229363,"Gmps","ENSMMUG00000007324",706932,"GMPS"
8834,"ENSG00000178307","TMEM11","protein-coding","transmembrane protein 11",NA,100399316,"TMEM11","ENSMUSG00000043284",216821,"Tmem11","ENSMMUG00000020893",704970,"TMEM11"
8835,"ENSG00000120833","SOCS2","protein-coding","suppressor of cytokine signaling 2","ENSCJAG00000002964",100396208,"SOCS2","ENSMUSG00000020027",216233,"Socs2","ENSMMUG00000054674",715772,"SOCS2"
8836,"ENSG00000137563","GGH","protein-coding","gamma-glutamyl hydrolase",NA,100415059,"GGH","ENSMUSG00000073987",14590,"Ggh","ENSMMUG00000055148",700747,"GGH"
8837,"ENSG00000003402","CFLAR","protein-coding","CASP8 and FADD like apoptosis regulator","ENSCJAG00000004505",100393782,"CFLAR","ENSMUSG00000026031",12633,"Cflar","ENSMMUG00000012310",574234,"CFLAR"
8838,"ENSG00000112761","CCN6","protein-coding","cellular communication network factor 6",NA,100393506,"CCN6","ENSMUSG00000062074",327743,"Ccn6","ENSMMUG00000012582",695430,"CCN6"
8839,"ENSG00000064205","CCN5","protein-coding","cellular communication network factor 5",NA,100404751,"CCN5","ENSMUSG00000027656",22403,"Ccn5","ENSMMUG00000045256",717872,"CCN5"
8840,"ENSG00000104415","CCN4","protein-coding","cellular communication network factor 4",NA,100401945,"CCN4","ENSMUSG00000005124",22402,"Ccn4","ENSMMUG00000010199",697624,"CCN4"
8841,"ENSG00000171720","HDAC3","protein-coding","histone deacetylase 3","ENSCJAG00000018086",100386715,"HDAC3","ENSMUSG00000024454",15183,"Hdac3","ENSMMUG00000012588",704467,"HDAC3"
8842,"ENSG00000007062","PROM1","protein-coding","prominin 1","ENSCJAG00000012523",100386859,"PROM1","ENSMUSG00000029086",19126,"Prom1","ENSMMUG00000008164",714610,"PROM1"
8844,"ENSG00000141068","KSR1","protein-coding","kinase suppressor of ras 1",NA,100403547,"KSR1","ENSMUSG00000018334",16706,"Ksr1","ENSMMUG00000017888",706388,"KSR1"
8846,"ENSG00000100601","ALKBH1","protein-coding","alkB homolog 1, histone H2A dioxygenase","ENSCJAG00000016936",100404803,"ALKBH1","ENSMUSG00000079036",211064,"Alkbh1","ENSMMUG00000023626",706760,"ALKBH1"
8848,"ENSG00000102804","TSC22D1","protein-coding","TSC22 domain family member 1","ENSCJAG00000019808",100404281,"TSC22D1","ENSMUSG00000022010",21807,"Tsc22d1","ENSMMUG00000003753",701076,"TSC22D1"
8850,"ENSG00000114166","KAT2B","protein-coding","lysine acetyltransferase 2B",NA,100414237,"KAT2B","ENSMUSG00000000708",18519,"Kat2b","ENSMMUG00000020342",698283,"KAT2B"
8851,"ENSG00000176749","CDK5R1","protein-coding","cyclin dependent kinase 5 regulatory subunit 1","ENSCJAG00000022823",100386175,"CDK5R1","ENSMUSG00000048895",12569,"Cdk5r1","ENSMMUG00000009548",714274,"CDK5R1"
8852,"ENSG00000147081","AKAP4","protein-coding","A-kinase anchoring protein 4","ENSCJAG00000003006",100411522,"AKAP4","ENSMUSG00000050089",11643,"Akap4","ENSMMUG00000023060",694888,"AKAP4"
8853,"ENSG00000151693","ASAP2","protein-coding","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",NA,100411588,"ASAP2","ENSMUSG00000052632",211914,"Asap2","ENSMMUG00000018033",699774,"ASAP2"
8854,"ENSG00000128918","ALDH1A2","protein-coding","aldehyde dehydrogenase 1 family member A2","ENSCJAG00000002282",100413342,"ALDH1A2","ENSMUSG00000013584",19378,"Aldh1a2","ENSMMUG00000019504",702235,"ALDH1A2"
8856,"ENSG00000144852","NR1I2","protein-coding","nuclear receptor subfamily 1 group I member 2","ENSCJAG00000008854",100402185,"NR1I2","ENSMUSG00000022809",18171,"Nr1i2","ENSMMUG00000001976",574226,"NR1I2"
8857,"ENSG00000275395","FCGBP","protein-coding","Fc gamma binding protein",NA,103789945,"FCGBP","ENSMUSG00000047730",215384,"Fcgbp",NA,700539,"FCGBP"
8858,"ENSG00000126231","PROZ","protein-coding","protein Z, vitamin K dependent plasma glycoprotein","ENSCJAG00000006758",100410742,"PROZ","ENSMUSG00000031445",66901,"Proz","ENSMMUG00000001039",696982,"PROZ"
